par_num	can_num	time	type
100	7	2.03	exhaus
100	7	1.99	exhaus
100	7	1.9	exhaus
100	7	1.92	exhaus
100	9	9.31	exhaus
100	9	9.37	exhaus
100	9	8.83	exhaus
100	9	9.93	exhaus
100	9	8.97	exhaus
100	11	42.87	exhaus
100	11	39.39	exhaus
100	11	44.09	exhaus
100	11	38.77	exhaus
100	11	41.13	exhaus
100	13	185.34	exhaus
100	13	179.35	exhaus
100	13	176.48	exhaus
100	13	188.29	exhaus
100	13	171.45	exhaus
100	15	928.92	exhaus
100	15	745.35	exhaus
100	15	891.83	exhaus
100	15	771.2	exhaus
100	15	838.25	exhaus
100	17	4547.69	exhaus
100	17	4339.72	exhaus
100	17	4514.29	exhaus
100	17	3832.98	exhaus
100	17	4498.35	exhaus
10	5	0.5800000000000001	greedy
10	5	0.75	greedy
10	5	0.56	greedy
10	5	0.69	greedy
10	5	0.56	greedy
10	7	1.8400000000000003	greedy
10	7	2.1300000000000003	greedy
10	7	1.49	greedy
10	7	1.6800000000000002	greedy
10	7	1.55	greedy
10	9	3.33	greedy
10	9	2.03	greedy
10	9	2.36	greedy
10	9	2.68	greedy
10	9	2.3899999999999997	greedy
10	11	4.079999999999999	greedy
10	11	3.3200000000000003	greedy
10	11	2.8600000000000003	greedy
10	11	3.36	greedy
10	11	2.9499999999999997	greedy
10	13	4.710000000000001	greedy
10	13	4.38	greedy
10	13	3.94	greedy
10	13	3.86	greedy
10	13	5.33	greedy
10	15	5.260000000000002	greedy
10	15	3.8699999999999997	greedy
10	15	4.21	greedy
10	15	6.62	greedy
10	15	4.599999999999998	greedy
10	17	6.41	greedy
10	17	5.659999999999998	greedy
10	17	10.700000000000001	greedy
10	17	5.010000000000001	greedy
10	17	4.3199999999999985	greedy
10	19	2.87	greedy
10	19	4.28	greedy
10	19	5.899999999999999	greedy
10	19	9.69	greedy
10	19	4.02	greedy
30	5	1.4300000000000002	greedy
30	5	1.4	greedy
30	5	1.5299999999999998	greedy
30	5	1.85	greedy
30	5	1.9300000000000002	greedy
30	7	6.91	greedy
30	7	7.629999999999999	greedy
30	7	8.03	greedy
30	7	6.34	greedy
30	7	7.470000000000001	greedy
30	9	20.21	greedy
30	9	19.11	greedy
30	9	18.72	greedy
30	9	15.41	greedy
30	9	19.900000000000002	greedy
30	11	38.34	greedy
30	11	40.23	greedy
30	11	42.989999999999995	greedy
30	11	31.33	greedy
30	11	35.28	greedy
30	13	54.13999999999999	greedy
30	13	29.18	greedy
30	13	62.980000000000004	greedy
30	13	68.27000000000001	greedy
30	13	62.74999999999999	greedy
30	15	80.07999999999998	greedy
30	15	79.60000000000001	greedy
30	15	49.07	greedy
30	15	91.32	greedy
30	15	67.19999999999999	greedy
30	17	77.93	greedy
30	17	83.68999999999998	greedy
30	17	56.660000000000004	greedy
30	17	184.70999999999992	greedy
30	17	87.08	greedy
30	19	80.56000000000002	greedy
30	19	68.92	greedy
30	19	82.11	greedy
30	19	96.66999999999999	greedy
30	19	94.64	greedy
50	5	3.0100000000000002	greedy
50	5	3.79	greedy
50	5	2.7899999999999996	greedy
50	5	2.83	greedy
50	5	2.5999999999999996	greedy
50	7	13.16	greedy
50	7	13.91	greedy
50	7	14.360000000000001	greedy
50	7	13.62	greedy
50	7	12.45	greedy
50	9	38.4	greedy
50	9	45.650000000000006	greedy
50	9	41.91	greedy
50	9	54.95	greedy
50	9	47.29	greedy
50	11	116.19000000000001	greedy
50	11	101.01	greedy
50	11	89.8	greedy
50	11	97.88000000000001	greedy
50	11	78.86	greedy
50	13	139.55	greedy
50	13	216.67	greedy
50	13	105.9	greedy
50	13	125.42	greedy
50	13	118.49000000000002	greedy
50	15	192.47	greedy
50	15	259.90000000000003	greedy
50	15	164.73999999999995	greedy
50	15	186.39000000000001	greedy
50	15	255.32000000000002	greedy
50	17	300.16	greedy
50	17	339.15	greedy
50	17	338.88999999999993	greedy
50	17	233.47000000000003	greedy
50	17	412.62	greedy
50	19	336.37	greedy
50	19	465.06999999999994	greedy
50	19	372.00000000000006	greedy
50	19	337.3500000000001	greedy
50	19	322.69000000000005	greedy
75	5	5.369999999999999	greedy
75	5	5.379999999999999	greedy
75	5	4.75	greedy
75	5	4.37	greedy
75	5	4.33	greedy
75	7	21.160000000000004	greedy
75	7	18.29	greedy
75	7	19.83	greedy
75	7	20.169999999999998	greedy
75	7	19.9	greedy
75	9	77.75	greedy
75	9	67.99	greedy
75	9	74.44	greedy
75	9	67.49000000000001	greedy
75	9	91.36000000000001	greedy
75	11	386.94	greedy
75	11	169.89	greedy
75	11	265.47999999999996	greedy
75	11	186.61	greedy
75	11	218.43	greedy
75	13	430.26	greedy
75	13	474.75	greedy
75	13	428.04	greedy
75	13	354.02000000000004	greedy
75	13	577.35	greedy
75	15	584.41	greedy
75	15	719.3799999999999	greedy
75	15	751.2499999999999	greedy
75	15	451.18	greedy
75	15	746.7999999999998	greedy
75	17	1634.69	greedy
75	17	957.5099999999999	greedy
75	17	1225.0900000000001	greedy
75	17	2127.73	greedy
75	17	1490.1699999999998	greedy
75	19	1142.84	greedy
75	19	1817.8700000000003	greedy
75	19	1293.3700000000001	greedy
75	19	1269.6800000000003	greedy
75	19	899.89	greedy
100	5	4.109999999999999	greedy
100	5	5.54	greedy
100	5	5.469999999999999	greedy
100	5	4.94	greedy
100	7	19.050000000000004	greedy
100	7	15.55	greedy
100	7	22.46	greedy
100	7	19.320000000000004	greedy
100	7	19.51	greedy
100	9	81.18	greedy
100	9	81.63	greedy
100	9	81.17999999999999	greedy
100	9	63.54	greedy
100	9	69.94	greedy
100	11	311.58	greedy
100	11	234.66	greedy
100	11	279.2	greedy
100	11	231.66999999999996	greedy
100	11	263.58	greedy
100	13	688.16	greedy
100	13	853.89	greedy
100	13	710.2	greedy
100	13	791.19	greedy
100	13	934.93	greedy
100	15	1291.14	greedy
100	15	2007.72	greedy
100	15	1308.31	greedy
100	15	1599.35	greedy
100	15	1335.3	greedy
100	17	2631.52	greedy
100	17	2664.49	greedy
100	17	3274.98	greedy
100	17	1901.12	greedy
100	17	2404.0299999999997	greedy
100	19	1799.5099999999995	greedy
100	19	4220.5	greedy
100	19	4404.579999999999	greedy
100	19	1787.1900000000003	greedy
